number,value,datetime_start,datetime_complete,duration,params_dropout_0,params_dropout_1,params_dropout_2,params_hidden_0,params_hidden_1,params_learning_rate,params_weight_decay,state
46,0.3374207832016147,2025-04-01 11:33:58.631735,2025-04-01 11:34:10.212735,0 days 00:00:11.581000,0.31400817087270283,0.11947841416278701,0.30863603037961523,365,320,0.0046433360664136,4.4098125316248166e-05,PRUNED
47,0.47986570586857247,2025-04-01 11:34:10.213266,2025-04-01 11:34:22.227057,0 days 00:00:12.013791,0.3277973800123112,0.1394114741801529,0.4019374848275,429,384,0.006831696170075119,0.0001589250901996338,PRUNED
48,0.5502204396583268,2025-04-01 11:34:22.227884,2025-04-01 11:34:34.178100,0 days 00:00:11.950216,0.15198526056246614,0.14821342503722867,0.38179022350542174,333,256,0.003660670482582561,0.00015681963310093901,PRUNED
49,0.6590471082551415,2025-04-01 11:34:34.178735,2025-04-01 11:34:46.428480,0 days 00:00:12.249745,0.24311520274878473,0.1073239322078547,0.31003843316657864,493,352,0.0036143715172523476,6.36605844514697e-05,PRUNED
50,0.4636570284532996,2025-04-01 11:34:46.429012,2025-04-01 11:34:57.857651,0 days 00:00:11.428639,0.3321406741453617,0.11225130357165676,0.44182940010845034,493,256,0.00426096175205485,5.697115707119672e-05,PRUNED
51,-0.17341223101214087,2025-04-01 11:34:57.858276,2025-04-01 11:35:09.085167,0 days 00:00:11.226891,0.29148310968087754,0.15468292601512243,0.3056567673071233,397,256,0.007204392914808204,9.988065512661862e-05,PRUNED
52,0.5355922053279478,2025-04-01 11:35:09.085691,2025-04-01 11:35:20.924186,0 days 00:00:11.838495,0.2626348493642648,0.13583492443296036,0.3122272901285073,397,256,0.006026824407441093,0.00017031905654564593,PRUNED
53,0.2818608014217532,2025-04-01 11:35:20.924841,2025-04-01 11:35:32.601284,0 days 00:00:11.676443,0.21419240706514026,0.14567528531993537,0.346496877989686,461,256,0.005956699185429324,0.00017017260040314984,PRUNED
54,0.47717655676349624,2025-04-01 11:35:32.601830,2025-04-01 11:35:44.255310,0 days 00:00:11.653480,0.28109678084797585,0.12014340392317606,0.32584154498285833,429,256,0.007620086079463346,0.00011989445337478888,PRUNED
55,0.4565382091487987,2025-04-01 11:35:44.256176,2025-04-01 11:35:55.432906,0 days 00:00:11.176730,0.1495103349893659,0.18408995876041212,0.41639719403058867,333,256,0.002664351366079327,9.571175103263079e-05,PRUNED
